author,book_title,genre,pages_amt,price,publish_date,rating_avg,ratings_amt,reviews_amt
B.L. Brunnemer,When the Dead Come A Knockin',young-adult,560 pages,"Kindle Unlimited
",January 27th 2017,4.50,5038,282
Jeff Wheeler,Mirror Gate,young-adult,348 pages,"Kindle Unlimited
",August 28th 2018,4.37,7258,365
Marie Rutkoski,The Winner's Crime,young-adult,416 pages,Amazon UK,March 3rd 2015,4.13,52722,7234
George M. Johnson,All Boys Aren't Blue,young-adult,320 pages,Amazon,April 28th 2020,4.31,222,74
Jeff Wheeler,Broken Veil,young-adult,346 pages,"Kindle Unlimited
",June 11th 2019,4.47,4603,328
Kate Avery Ellison,Silver Wolf,young-adult,238 pages,"Kindle Unlimited
",October 9th 2019,4.11,640,42
Jeff Wheeler,The Silent Shield,young-adult,320 pages,"Kindle Unlimited
",August 22nd 2017,4.48,8143,325
L.A. Cotton,The Game You Play,young-adult,,Amazon,September 17th 2019,4.21,1690,365
Audrey Grey,King Maker,young-adult,,"Kindle Unlimited
",February 18th 2020,4.44,739,131
"Kimberly   Jones,Gilly Segal",I'm Not Dying with You Tonight,young-adult,249 pages,"Kindle Store
$7.39
",August 6th 2019,3.61,8428,1409
Shannon Messenger,Nightfall,young-adult,576 pages,"Kindle Store
$8.99
",November 7th 2017,4.64,8808,770
Jamie McGuire,All the Little Lights,young-adult,440 pages,Amazon,May 29th 2018,3.94,12278,1777
Jeff Wheeler,Iron Garland,young-adult,352 pages,"Kindle Unlimited
",November 13th 2018,4.44,6192,312
Rachel Hawkins,Royals,young-adult,296 pages,Amazon,May 1st 2018,3.79,12826,2709
Jeff Wheeler,The Hollow Crown,young-adult,304 pages,"Kindle Unlimited
",June 13th 2017,4.38,9307,373
Shannon Messenger,Flashback,young-adult,848 pages,Amazon,November 6th 2018,4.45,7179,827
"Demitria Lunetta,Marley Lynn,Kate Karyus Quinn",Fire & Flood,young-adult,232 pages,Amazon IN,August 13th 2019,3.99,556,68
Tijan,Crew Princess,young-adult,302 pages,"Kindle Store
$0.99
",August 19th 2019,4.46,2191,340
Charlie N. Holmberg,The Master Magician,young-adult,226 pages,"Kindle Unlimited
",June 2nd 2015,3.85,27986,2116
Stuart Gibbs,Tyrannosaurus Wrecks,young-adult,336 pages,"Kindle Store
$10.99
",March 24th 2020,4.62,302,41
